osmid,lat,lon
796035374,37.5700371,127.0303262
1157443397,37.593134,127.047636
1157443399,37.5916571,127.0460966
1157443401,37.5918271,127.0497543
1157443403,37.5933175,127.0488489
1157443404,37.5930458,127.0482233
1157443405,37.5924725,127.0453574
1157443406,37.5930259,127.0493608
1157443410,37.5918455,127.0461138
1157443411,37.5923645,127.0469884
1157443425,37.5933412,127.0493429
1157443428,37.592414,127.0461715
1157443431,37.5932056,127.0460766
1157443453,37.5944344,127.0474602
1167635378,37.5927347,127.0459744
1874057868,37.5727269,127.0379653
1934214762,37.5886515,127.0351055
1934226415,37.5887245,127.0358293
1934226420,37.5883499,127.0357879
1934229759,37.5881255,127.0363369
1934232910,37.5877608,127.0341945
1936511633,37.5725346,127.0363014
1936511634,37.5725594,127.0360484
1936511636,37.5725867,127.0377184
1936511639,37.5726581,127.037413
1936511641,37.572734,127.0359041
1936511653,37.5767765,127.0364196
1936511655,37.5768618,127.0349843
1936511659,37.5781348,127.0386734
1936511670,37.5829736,127.0404709
1936511921,37.6067309,127.0703597
1939143568,37.5694825,127.0492006
1939143655,37.5709155,127.046893
1939143729,37.5725271,127.0429791
1939143735,37.5727354,127.0425431
1939143750,37.5730121,127.0420311
1939143793,37.5738755,127.0306766
1939143810,37.5738497,127.0282817
1939143815,37.5738335,127.0267792
1939143828,37.5740111,127.0306624
1939143843,37.5739694,127.0350663
1939143856,37.573967,127.0268021
1939143862,37.5740312,127.0324241
1939143865,37.5740043,127.0380828
1939143880,37.5740776,127.0350494
1939143883,37.5741323,127.0380917
1939143884,37.574131,127.0373459
1939143915,37.5752568,127.0237583
1939143917,37.5753513,127.0237236
1939143932,37.5755453,127.0233508
1939143942,37.5756346,127.0236211
1939143945,37.575917,127.0238918
1939143993,37.5775883,127.0297409
1939143994,37.5776761,127.0304765
1939143996,37.5778012,127.0304611
1939144031,37.5782318,127.0368042
1939144037,37.5782433,127.0383606
1939144044,37.5790062,127.0412674
1939144048,37.5793387,127.0423761
1939144051,37.580119,127.0448362
1939144055,37.5804138,127.044996
1939144058,37.5806111,127.0456908
1939144069,37.5836213,127.0542416
1939144191,37.6048622,127.0707932
1939144305,37.578074,127.03492
1943131877,37.5823036,127.0295989
1943131894,37.5823663,127.0290974
1943131901,37.5824297,127.0291956
1943131928,37.582656,127.0300091
1943131962,37.5829671,127.0298241
1943131982,37.5830359,127.029871
1943132019,37.5880095,127.0344476
2135060914,37.5763439,127.0343966
2140403724,37.573844,127.0277554
2140403734,37.5713226,127.0280173
2140403775,37.5713436,127.0275595
2147578786,37.5951352,127.0404595
2147579199,37.5764396,127.0261836
2147579200,37.5721394,127.0268682
2246875367,37.585642,127.0524505
2246875370,37.585956,127.0526813
2246875372,37.5862428,127.0529394
2246875377,37.5865613,127.0535315
2246875379,37.5865613,127.0536765
2246875381,37.5865586,127.0541233
2246875385,37.5868387,127.0546687
2246875387,37.5869805,127.0549083
2334996077,37.5826627,127.0601824
2334996085,37.5827431,127.0591592
2334996089,37.5824732,127.058035
2334996096,37.5825761,127.0574022
2334996098,37.5828009,127.0582473
2334996101,37.5831291,127.0556102
2334996106,37.5829793,127.0557003
2334996760,37.5833778,127.0604908
2334998403,37.5830307,127.0572844
2334998836,37.5828004,127.0572985
2334999129,37.5826618,127.0611174
2335001103,37.5833926,127.059601
2335001829,37.5836747,127.0591795
2335001830,37.5836542,127.0596259
2335001831,37.584035,127.058486
2335001832,37.5841765,127.058486
2335001834,37.5840131,127.0592116
2335001835,37.5837183,127.0584604
2335001838,37.5839889,127.0596689
2335002036,37.5848343,127.060543
2335002057,37.5844959,127.0629225
2335002299,37.5843039,127.0613725
2335003766,37.5858055,127.0570359
2335004104,37.5833709,127.0569081
2335005340,37.5846978,127.0559635
2335006037,37.5846077,127.0596696
2335007680,37.5841766,127.0589009
2335009671,37.5856775,127.0609238
2335009675,37.587284,127.0604609
2335009678,37.5891942,127.0612077
2335009681,37.5869004,127.0607547
2335009683,37.5869351,127.060268
2335011402,37.5793096,127.0627632
2335011433,37.5810257,127.0632768
2335011443,37.5811366,127.0649209
2335011453,37.5830007,127.0643399
2335011478,37.5852021,127.060885
2335011484,37.5850828,127.0616454
2335012671,37.5857339,127.0562438
2335013776,37.5860804,127.0563191
2335018970,37.5846179,127.0579695
2362800056,37.5800771,127.0257215
2362800064,37.579171,127.0253788
2362804021,37.5817527,127.0297007
2362804022,37.5817173,127.0290749
2401067409,37.5919144,127.0531797
2401067410,37.5913753,127.0568599
2401067411,37.5911138,127.0556607
2401067412,37.5912999,127.0560965
2401067414,37.5924041,127.0532942
2463633337,37.5721386,127.0276199
2671057704,37.5985295,127.0586494
2671057707,37.5985988,127.0578338
2671057708,37.5985733,127.0575198
2899134028,37.595342,127.0526271
2899157286,37.5980501,127.0535722
2899157294,37.5955852,127.0525843
2899157502,37.5955244,127.0527506
2899160916,37.5964674,127.0537974
2899160917,37.5981095,127.0541244
2899160919,37.596826,127.0548851
2899160922,37.5974083,127.0549536
2899160928,37.5957619,127.0509874
2899160929,37.5955996,127.0513672
2899163342,37.596064,127.0523709
2899163343,37.5964455,127.0533255
2899163345,37.5963028,127.0528828
2899163347,37.5963264,127.0529048
2899164711,37.5957386,127.0546782
2899177370,37.5968942,127.0540574
2899177372,37.597487,127.0541477
2902796132,37.5956255,127.0550218
2934469644,37.588606,127.0357565
2962063146,37.5838341,127.0356961
2965688888,37.5739666,127.0348502
2965688889,37.5735861,127.0348078
3252764011,37.5749427,127.0267537
3252764014,37.5749724,127.028235
3252764015,37.5739845,127.0283371
3252764020,37.576964,127.027959
3252764021,37.577083,127.0283686
3252764023,37.5765479,127.0284854
3252764024,37.5764067,127.0280469
3252764027,37.5769344,127.0298449
3252764028,37.5774838,127.0298009
3252764030,37.5775302,127.0322531
3252764033,37.5780662,127.0338143
3252764034,37.5775621,127.0338058
3252764037,37.5780633,127.0333467
3252764038,37.5775673,127.0333874
3252764039,37.5764642,127.0334148
3252764041,37.5764182,127.0323145
3252764042,37.5778748,127.0311993
3252764043,37.5773034,127.0311856
3252764046,37.5768331,127.0322836
3252764047,37.576878,127.0334207
3252764049,37.5746139,127.0324032
3252764050,37.5745775,127.0306351
3252764051,37.5740191,127.0313651
3252764053,37.5751482,127.0313222
3252764054,37.5740484,127.0335659
3252764055,37.5746496,127.0335261
3252764057,37.5740401,127.0332047
3252764058,37.5746497,127.0331699
3252764863,37.5752022,127.0334645
3252764864,37.5751773,127.0330913
3252764865,37.5751567,127.0323839
3252764866,37.5755198,127.0305806
3252764868,37.5755772,127.0323551
3252764872,37.5771627,127.0312081
3252764873,37.5771877,127.0322574
3252764880,37.5764788,127.0339718
3252764881,37.5775598,127.033997
3252764882,37.5770197,127.0334078
3252764883,37.5770357,127.0339748
3252764884,37.5746261,127.0327991
3252764885,37.5751703,127.0327664
3252764887,37.5760131,127.0327163
3252764890,37.5760029,127.0323458
3252764891,37.575981,127.031275
3252764892,37.5755435,127.0312914
3252764893,37.5763903,127.0312339
3252770279,37.5751413,127.0316961
3252770281,37.5740227,127.0316926
3252770282,37.5745983,127.0316709
3252770283,37.5748719,127.0313169
3252770284,37.5748522,127.0306202
3252770285,37.5748521,127.0317073
3252770286,37.5748649,127.0324004
3252770288,37.5763613,127.0305435
